element_type,osmid,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,cuisine,name,opening_hours,opening_hours:covid19,outdoor_seating,phone,website,geometry,opening_hours:signed,wheelchair,addr:country,addr:suburb,alt_name,email,beer_garden,toilets:wheelchair,contact:email,contact:phone,contact:website,access:covid19,brewery,cuisine:description,operator,takeaway:covid19,check_date,kitchen_hours,start_date,note,source:addr,source,addr:subdistrict,takeaway,kitchen,check_date:opening_hours,diet:vegan,diet:vegetarian,indoor_seating,smoking,toilets,fixme,delivery,description,contact:fax,microbrewery,note:en,reg_name,fax,toilets:access,internet_access,internet_access:fee,internet_access:ssid,level,created_by,drive_in,lunch,lunch:warm,old_name,alt_name:note,old_operator,bar,branch,brand,opening_hours:kitchen,website:menu,diet:halal,halal,shop,short_name,lastcheck,payment:contactless,payment:girocard,payment:mastercard,payment:visa,payment:cash,toilets:female,toilets:male,toilets:unisex,capacity,diet:gluten_free,payment:maestro,payment:mastercard:min_payment,payment:others,payment:visa:min_payment,air_conditioning,wifi,delivery:partner,drink:afri-cola,front_cooking,wheelchair:description,contact:facebook,FIXME,changing_table,changing_table:location,ref,table_service,toilets:disposal,operation,tourism,mapillary,survey:date,image,surveillance,reservation,wheelchair:description:de,todo,note:covid19,diet:kosher,drive_through,payment:credit_cards,payment:debit_cards,seating,payment:cryptocurrencies,payment:electronic_purses,ref:vatin,access,description:payment,payment:account_cards,official_name,changing_table:count,description:de,payment:cards,addr:housename,dog,max_level,min_level,wikidata,contact:mobile,name:zh,brand:wikidata,brand:wikipedia,kids_area,kids_area:fee,kids_area:outdoor,kids_area:supervised,loc_name,organic,smoking:outside,source:url,payment:american_express,running_sushi,name:note,name:de,buffet,self_service,designation,old_name_1,old_name_2,service_times,theme,brewery:wikidata,craft,delivery:covid19,description:covid19,payment:diners_club,old_name:1,addr:floor,contact:whatsapp,indoor,craft_beer,contact:instagram,payment:apple_pay,seats,opening_date,seats:indoor,seats:outdoor,drinking_water:refill,drinking_water:refill:network,drinking_water:refill:network:wikidata,sport,currency:EUR,currency:others,access:description,cocktails,happy_hours,lunch:menu,addr:place,breakfast,nodes,building,roof:colour,roof:levels,roof:shape,building:levels,source:outline,internet_access:operator,layer,indoor_slide,source:geometry,disused:amenity,roof:material,height,source:height,ele,building:part,room,capacity:indoor,capacity:outdoor,all_you_can_eat,all_you_can_eat:type,outdoor_seating:capacity,payment:credit_card,wood_oven,delivery:brand,level:ref
way,54828233,Karlsruhe,13,76227,Kanzlerstraße,restaurant,,Festhalle,"Mo-Fr 11:30-14:30, Tu-Th 17:00-20:00+",,no,,,"POLYGON ((8.4665831 48.9980954, 8.4666301 48.9981365, 8.4666721 48.9981719, 8.4669386 48.9980377, 8.466856 48.9979646, 8.4668454 48.9979692, 8.4665951 48.9980904, 8.4665831 48.9980954))",no,yes,,,,,,no,,,,,,,,,,,,,,,,,,2023-01-30,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043503545, 1043503543, 690169713, 690169721, 690169730, 690169734, 690169726, 1043503545]",apartments,,1,gabled,2,,,,,,,,,,,,,,,,,,,,,
way,87759634,Karlsruhe,1,76227,Hauptbahnstraße,restaurant,italian,La Viletta,Mo-Su 11:30-23:00; Tu off,,,,,"POLYGON ((8.4617301 49.0014847, 8.4617334 49.001481, 8.4616731 49.0014574, 8.4616695 49.0014614, 8.4615889 49.0014299, 8.4615368 49.0014872, 8.4616174 49.0015187, 8.4616126 49.001524, 8.4616729 49.0015476, 8.4616779 49.0015421, 8.46177 49.0015781, 8.4618221 49.0015207, 8.4617301 49.0014847))",no,,,,,,,,,,,,,,,,,,,,,,,no,,2022-12-02,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3804571828, 3804571826, 3804571824, 3804571825, 3804571822, 3804571829, 3804571830, 3804571831, 3804571833, 3804571832, 3804571834, 1020359370, 3804571828]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,89751272,,64,76227,Pfinzstraße,restaurant,german;french,Zum Ochsen,"We-Su 12:00-14:00,18:00-21:30",,,+49 721 943860,http://www.ochsen-durlach.de/,"POLYGON ((8.4728317 49.001445, 8.4730505 49.0014405, 8.4730449 49.0013232, 8.4728261 49.0013277, 8.4728317 49.001445))",,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1040008758, 1040008798, 1040008876, 1040008906, 1040008758]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,90047623,Karlsruhe,37,76133,Zähringerstraße,restaurant,pizza,Kais Pizza,"Tu-Fr 10:30-14:00,17:00-21:00; PH,Sa,Su 15:00-20:00; Mo off",,no,+49 721 373734,http://www.kais-pizza.de,"POLYGON ((8.4100168 49.0087638, 8.4101301 49.0087594, 8.4101283 49.0087395, 8.4101275 49.0087309, 8.4101503 49.0087301, 8.4101475 49.0086967, 8.4101909 49.0086949, 8.4101892 49.0086765, 8.4101858 49.0086378, 8.4101845 49.0086236, 8.4101182 49.0086262, 8.4101147 49.0085873, 8.4101134 49.0085731, 8.4101127 49.0085648, 8.4099994 49.0085692, 8.4100014 49.0085914, 8.4100047 49.0086275, 8.4099406 49.00863, 8.4099471 49.0087028, 8.4099854 49.0087014, 8.4099883 49.0087364, 8.4100143 49.0087354, 8.4100151 49.0087441, 8.4100168 49.0087638))",,no,,,,info@kais-pizza.de,,,,,,,,,Kai Weber-Sieb,,,,,,,,,yes,,,yes,yes,yes,no,,,yes,,,,,,,,wlan,no,,,,,,,Il Ponte Rosso,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,indoor,,,,,,,,,indoor,,,,,,,,,,,Brückengebäude,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1043718822, 1043718833, 1741767905, 3298703669, 3298703667, 3298703664, 1043718844, 6018439505, 6018439506, 1043718799, 1043718820, 3294327616, 3611324626, 1043718802, 1043718827, 3611324629, 1043718803, 1043718829, 1043718806, 1674534010, 3298703673, 3298703672, 3611324632, 1043718822]",retail,,1,gambrel,2,,freifunk,3,,,,,,,,,,,,,,,,,,
way,90626454,Karlsruhe,"38,40",76133,Stephanienstraße,restaurant,german,Badisch Brauhaus,Mo-Th 15:00-23:00; Fr 15:00-24:00; Sa 11:30-24:00; Su 11:30-23:00,,,+49 721 144-4400,https://www.badisch-brauhaus.de/,"POLYGON ((8.3936701 49.0117612, 8.3936217 49.0118562, 8.3936088 49.011888, 8.3935495 49.0120769, 8.3935363 49.0121164, 8.3935607 49.0121203, 8.3934953 49.0122822, 8.3935915 49.0122975, 8.3935836 49.0123191, 8.3935883 49.0123199, 8.3937312 49.0123441, 8.3937892 49.0121889, 8.3938085 49.0121931, 8.3938379 49.012122, 8.3939078 49.011953, 8.3939278 49.0119075, 8.3939653 49.011827, 8.3938184 49.0117938, 8.3938041 49.0117906, 8.3936701 49.0117612))",,yes,DE,,,,,yes,,,,,,,Badisch Brauhaus Braugesellschaft mbH,,2022-10-16,,,,,,,yes,,,,,,,,,,Off-trade sales for beer in siphons only,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Außer Haus Verkauf nur für Bier im Siphon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brewery,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1051739291, 1251396933, 1051739310, 1251396397, 1051739332, 1051739301, 3448362096, 3448362097, 1251396853, 3448362098, 1051739305, 1251396503, 1051739313, 1251396852, 1251396887, 1251397365, 1051739336, 3448362093, 1251396720, 1051739291]",,,,,,,,,yes,,,,,,,,,,,,,,,,,
way,98044074,Karlsruhe,19,76137,Jollystraße,restaurant,italian,La Tegola,"Mo-Sa 12:00-15:00, Mo-Fr 18:00-22:30; Su off",,,+49721813406,,"POLYGON ((8.392342 49.0016186, 8.3924521 49.0015594, 8.3923403 49.0014704, 8.3923243 49.0014581, 8.3922146 49.0015179, 8.3922253 49.0015264, 8.392342 49.0016186))",,limited,DE,,,,,,,,,,Riegeler Bier,,,,,,,,,,,,,,,,,isolated,,,,Küche geöffnet 14:30-23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1134534594, 1134534210, 1146091712, 1134534385, 1134534543, 1134534615, 1134534594]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,99368359,Karlsruhe,9,76187,Annweilerstraße,restaurant,pizza,Pizzeria Stella Maris,,,yes,+49 721 78367376,https://www.pizzeria-stella-maris.de/,"POLYGON ((8.353347 49.0339595, 8.3534719 49.0340315, 8.3535836 49.0339481, 8.3535599 49.0339344, 8.353467 49.033881, 8.3534587 49.0338762, 8.353347 49.0339595))",,,DE,,,,,,,,,,,,,,,,,,,LA Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pizzeria-stella-maris.de/speisekarte/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1149333885, 1149333824, 1149333809, 6462818872, 6462818873, 1149333851, 1149333885]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,100290687,,12,76228,Waldbronner Straße,restaurant,pizza,Waldenserschänke,Tu-Fr 11:30-14:00; Sa 17:00-22:00; Su 11:00-22:00,,,,http://www.waldenserschaenke.de/,"POLYGON ((8.4789736 48.944488, 8.4789534 48.9444499, 8.4788838 48.9444658, 8.4788639 48.9444281, 8.478608 48.9444866, 8.4786399 48.9445467, 8.4786482 48.9445624, 8.4789736 48.944488))",,,DE,,,,,,,+49 721 45898,,,,,,,,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1159214446, 1159214431, 1159214492, 1159214463, 1159214416, 1159214505, 1159214439, 1159214446]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,100656027,Karlsruhe,6,76228,Waldbronner Straße,restaurant,,Schmalztöpfle,Tu-Su 18:00+,,,,,"POLYGON ((8.4801482 48.946252, 8.4801342 48.9462267, 8.4800989 48.9461631, 8.4800803 48.9461297, 8.4801495 48.9461131, 8.4802093 48.9460988, 8.4802772 48.9462212, 8.4801482 48.946252))",,limited,DE,Palmbach,,,,,,+49 721 451227,http://www.schmalztoepfle.de/,,,,,,,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1163641591, 1163641562, 1163641131, 1163641228, 1163641537, 1163641122, 1163641460, 1163641591]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,102689834,,,,,restaurant,regional,Burgstüble,,,,,,"POLYGON ((8.4280403 49.013031, 8.4281005 49.0129672, 8.428159 49.012991, 8.4281622 49.0129876, 8.4282292 49.0130148, 8.4281377 49.0131118, 8.4280707 49.0130846, 8.4280743 49.0130807, 8.4280274 49.0130617, 8.4280447 49.0130434, 8.4280403 49.013031))",,,,,,,,,,,,,,,Burghof Karlsruhe GmbH,,,,2015-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1186002793, 1186002784, 3559289227, 3559289226, 3559075430, 1186001829, 3559289231, 3559289229, 1186002790, 1186002781, 1186002793]",,,,,,,,,,Bing 2013,,,,,,,,,,,,,,,,
way,109430970,Karlsruhe,17,76137,Brauerstraße,restaurant,asian,Saigon,"Mo-Fr 11:30-15:00,17:00-21:00; Su,PH 12:00-21:00",,,+49 721 2059881,https://www.saigon-asia-imbiss.de/,"POLYGON ((8.3866975 49.0027185, 8.3868978 49.0027096, 8.3869028 49.0027584, 8.3869239 49.0027575, 8.3869295 49.0028119, 8.3869086 49.0028128, 8.3867082 49.0028217, 8.3867064 49.0028044, 8.3866975 49.0027185))",,no,DE,,,,,no,,,,,,,,,,,,,,LA-KA,,yes,,2023-06-09,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1252655921, 1252656251, 1252655841, 1252655971, 1252656150, 1252655805, 1252655674, 1829302636, 1252655921]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,109496140,Karlsruhe,25,,Maxau am Rhein,restaurant,german,Rheinperle,"closed ""Seit November 2016 geschlossen. Das Objekt steht zum Verkauf.""",,,+49 721 561333,http://www.rheinperle-maxau.de/,"POLYGON ((8.3122176 49.0467929, 8.3122918 49.0467757, 8.3123567 49.0467618, 8.3122902 49.0466321, 8.3121501 49.046663, 8.3122176 49.0467929))",,,,,,,,,,,,,,,Christel Schmidtke,,2017-03-10,,,,,,,,,2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1253465185, 1449745217, 1253465186, 1253465182, 1253465172, 1253465185]",yes,,,,,,,,,,restaurant,,,,,,,,,,,,,,,
way,110399725,Karlsruhe,25,76133,Reinhold-Frank-Straße,restaurant,persian,Firouzeh,,,,,https://www.firouzeh-karlsruhe.de/,"POLYGON ((8.386799 49.007465, 8.3869291 49.0074605, 8.3869371 49.00756, 8.386724 49.0075674, 8.3867176 49.0074886, 8.3868007 49.0074857, 8.386799 49.007465))",,no,DE,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1719069869, 1719069868, 1260820334, 1260820761, 1260820825, 1260820702, 1719069869]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,114599554,Karlsruhe,300,76185,Kriegsstraße,restaurant,,Marianne's Flammkuchen,"Tu-Sa 17:00+; Su,PH 12:00-20:00",,,,https://www.mariannes-flammkuchen.de/,"POLYGON ((8.3643996 49.0065062, 8.3644487 49.0065883, 8.3646203 49.006537, 8.3646342 49.0065431, 8.3646641 49.0065422, 8.3647019 49.0065321, 8.3647365 49.0065148, 8.3647574 49.0064972, 8.3647679 49.0064838, 8.3647723 49.0064642, 8.3647692 49.0064504, 8.3647623 49.0064398, 8.364751 49.0064275, 8.3647335 49.0064181, 8.364717 49.006414, 8.3646928 49.0064091, 8.3646571 49.0064137, 8.3643996 49.0065062))",,no,DE,,,,,,info@mariannes-flammkuchen.de,+49 721 591080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1297705743, 1297705792, 1297705773, 1297705755, 1384348369, 1384348368, 1297705753, 1384348366, 1297705851, 1384348359, 1297705843, 1384348357, 1297705744, 1384348356, 1297705836, 1297705751, 1297705807, 1297705743]",yes,grey,,,,,,,,,,,,,,,,,,,,,,,,
way,115134547,Karlsruhe,17,76227,Ochsentorstraße,restaurant,spanish,Pablo’s,Mo-Su 17:00+,,,+49 721 7907451,http://www.pablos-durlach.de/,"POLYGON ((8.4724072 49.0007272, 8.4725373 49.0007312, 8.4726705 49.0007357, 8.4726557 49.0008017, 8.472402 49.0007911, 8.4724072 49.0007272))",,,DE,,,info@pablos-durlach.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1302154916, 1302154997, 1302154957, 1302155152, 1302155005, 1302154916]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,117064529,Karlsruhe,10c,76185,Griesbachstraße,restaurant,german,Kesselhaus,"Mo off; Tu-Fr 11:30-14:30,18:00-23:00; Sa 18:00-23:00; Su off",Tu-Su 12:00-19:00; Mo off,yes,,,"POLYGON ((8.365611 49.0013394, 8.3657866 49.0014253, 8.3658416 49.001377, 8.3659285 49.0014196, 8.3660056 49.0013518, 8.3657431 49.0012232, 8.365611 49.0013394))",,limited,DE,,,,,yes,info@kesselhaus-ka.de,+49 721 6699269,http://www.kesselhaus-ka.de/,,,,H3-Gastro GmbH,yes,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"[1318769193, 1318769215, 1318769169, 1318769159, 1318769073, 1318769197, 1318769193]",yes,,,,2,,,,,,,,,,,,,,,,,,,,,
way,120143879,Karlsruhe,2,76185,Griesbachstraße,restaurant,,Hoepfner Treff,"Mo 11:00-14:30; Tu-Th 11:00-14:30,17:00-23:00; Fr 11:00-14:30,17:00-24:00; Sa 17:00-24:00",,,,,"POLYGON ((8.3673768 49.0011875, 8.3672643 49.0011918, 8.3672114 49.0011833, 8.3671911 49.0012056, 8.3670975 49.001168, 8.3672061 49.001049, 8.3673456 49.0010752, 8.3673768 49.0011875))",,no,DE,,,,,,,+49 721 855653,http://hoepfnertreff.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1347805121, 1347804819, 1347804927, 1347804898, 1347805000, 1347805179, 1347804789, 1347805121]",yes,,,,4,,,,,,,,,,,,,,,,,,,,,
way,120358450,Karlsruhe,8,76227,Jean-Ritzert-Straße,restaurant,,Schützenhaus auf dem Turmberg,,,,+49 721 94318122,,"POLYGON ((8.4933242 48.9947872, 8.4934851 48.9948401, 8.4935362 48.9947731, 8.4935656 48.9947828, 8.4935772 48.9947676, 8.4936133 48.9947795, 8.493655 48.9947249, 8.4936319 48.9947174, 8.493654 48.9946884, 8.4935 48.9946378, 8.4934945 48.994645, 8.4934451 48.9946288, 8.4933242 48.9947872))",,,DE,Durlach,,,,,,,,,,,,,,,,,,LA-KA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1349658674, 1349658723, 1349658698, 1349658720, 1349658692, 1349658714, 7252452381, 7252452380, 1349658684, 1349658708, 1349658676, 1349658688, 1349658674]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,120437694,Karlsruhe,22,76227,Reichardtstraße,restaurant,,Anders auf dem Turmberg,"PH 12:00-13:30,17:45-21:00; Mo,Th,Fr,Sa 17:45-21:00; Tu off; We off",Mo-Su 12:00-16:00,yes,+49 721 41459,http://www.anders-turmberg.de/,"POLYGON ((8.4851816 48.9968989, 8.4851576 48.9968865, 8.4851509 48.996892, 8.4851276 48.99688, 8.4851523 48.9968594, 8.4851341 48.99685, 8.4852126 48.9967845, 8.4851795 48.9967674, 8.4852127 48.9967397, 8.4851967 48.9967314, 8.4852634 48.9966757, 8.4852825 48.9966855, 8.4853461 48.9966325, 8.4854994 48.9967117, 8.4853382 48.9968461, 8.4853028 48.9968279, 8.48528 48.9968469, 8.4852635 48.9968607, 8.4852412 48.9968492, 8.4851816 48.9968989))",,no,DE,,,kontakt@anders-turmberg.de,,,,,,,,,,only,,,,,,,,no,,,,,,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,"[1350418683, 3755136499, 3755136502, 3755136498, 3755136492, 1350418603, 1350418589, 1350418573, 1350418718, 1350418707, 1350418693, 1350418679, 1350418662, 1350418570, 1350418713, 1350418704, 3623189823, 1350418688, 1350418675, 1350418683]",yes,,,,1,,,,,"Maps4BW, LGL, www.lgl-bw.de",,gravel,,,,,,,,,,,,,,
way,122481703,Karlsruhe,14,76189,Inselstraße,restaurant,german,Gasthaus Blume,"Mo-Fr 16:00-24:00; Sa,Su,PH off",,,,,"POLYGON ((8.3278953 49.0066672, 8.327896 49.0066402, 8.3278472 49.0066397, 8.3278484 49.0065922, 8.3278977 49.0065928, 8.3278995 49.0065253, 8.3280057 49.0065264, 8.3280023 49.0066679, 8.3278953 49.0066672))",,,DE,,,,,,,+49-721-577207,,,,,Robert Fies,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1368558836, 1368558805, 1368558804, 1368558743, 1368558746, 1368558683, 1368558684, 1368558841, 1368558836]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,123206963,Karlsruhe,29,76189,Am Anger,restaurant,german,Kleingartenverein Rheinstrandsiedlung,"Mo, Fr 16:00; Tu, We 11:00+; Sa 17:00+; Su, PH 10:00+; Th off",,,+49 721 92091092,,"POLYGON ((8.3358038 48.9930068, 8.3358545 48.992986, 8.3358056 48.9929347, 8.3360018 48.9928542, 8.3360436 48.9928981, 8.3360104 48.9929116, 8.3360626 48.9929664, 8.3358489 48.993054, 8.3358038 48.9930068))",,limited,DE,,,,,no,,,,,Hatz,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1374722440, 1374722432, 1374722412, 1374722312, 1374722373, 1374722387, 1374722426, 1374722485, 1374722440]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,127975074,Karlsruhe,2,76199,Gottlob-Schreber-Weg,restaurant,hungarian,Zum Elsternest,"Mo off; Tu-Su, Ph 11:00-22:00",,yes,,,"POLYGON ((8.395824 48.9779091, 8.395991 48.9779719, 8.3960038 48.9779574, 8.3960371 48.9779551, 8.3960261 48.9779319, 8.3960609 48.9779292, 8.3960482 48.9779066, 8.396084 48.9779041, 8.3960709 48.9778806, 8.3960881 48.9778609, 8.3959181 48.977797, 8.395824 48.9779091))",,yes,DE,Weiherfeld-Dammerstock,,,,yes,zumelsternest@t-online.de,+49 721 883413,http://www.zum-elsternest.de/,,,,Zsolt Szebenyi,,2023-04-30,,,,,,Weiherfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1422081028, 5038966651, 1422081034, 1422081033, 1422081031, 1422081029, 1422081027, 1422081025, 1422081024, 1415194753, 1415194668, 1422081028]",commercial,,,,1,bing,,,,,,,,,,,,,,,,,,,,
way,128055623,Karlsruhe,34,76199,Rastatter Straße,restaurant,,La Medusa,"Fr,Sa 18:30-22:00+",,,,,"POLYGON ((8.4042857 48.9746316, 8.4043277 48.9746165, 8.4043541 48.9746481, 8.4044 48.9746316, 8.4044117 48.9746456, 8.404484 48.9746196, 8.4044776 48.9746119, 8.4045137 48.9745989, 8.404481 48.9745598, 8.4046058 48.9745148, 8.404547 48.9744445, 8.4044889 48.9744654, 8.4044812 48.9744562, 8.4044542 48.9744659, 8.4044422 48.9744517, 8.4043924 48.9744696, 8.4044124 48.9744935, 8.4043063 48.9745318, 8.4042879 48.9745098, 8.4042079 48.9745386, 8.4042857 48.9746316))",,no,DE,,,,,,,+49 721 1839123,http://www.osteria-la-medusa.de/,,,,,,,,,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1415968592, 1415968587, 1415968604, 1415968598, 1415968600, 1415968589, 1415968583, 1415968574, 1415968571, 1415968552, 1415968517, 1415968530, 1415968524, 1415968534, 1415968520, 1415968541, 1415968544, 1415968565, 1415968551, 1415968568, 1415968592]",yes,,,,,,,,,,,,,,,,,,,,,,,,,
